"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,"Columbia, SC………………………………………….",10.9,7.4,8.6,6.5,7.3,5.6,10.7,6.4,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",4.9,3.6,2.2,2.6,6.7,4.0,3.2,2.9,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",6.7,2.1,5.6,1.9,8.6,2.4,6.6,2.2,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",5.7,6.8,15.8,10.7,7.3,7.3,9.7,8.1,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",3.2,2.5,4.4,2.8,5.4,3.2,5.9,3.2,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",4.7,2.5,8.1,3.3,6.7,3.1,5.1,2.9,,,,,,,,,,
,"Fresno, CA………………………………………………",9.3,6.5,7.5,5.5,7.0,5.3,3.9,4.1,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",4.9,6.2,4.9,5.6,2.8,4.7,5.5,7.2,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",9.8,7.5,7.1,5.8,5.1,4.7,10.9,6.7,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",3.1,3.2,4.5,3.7,5.9,4.2,3.6,3.6,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",10.6,2.8,11.8,2.9,12.4,3.1,10.8,2.9,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",5.7,3.6,9.1,4.8,7.2,4.2,6.3,3.6,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",4.7,3.9,6.9,5.0,4.7,4.1,4.5,3.9,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",13.1,4.1,5.8,2.7,9.5,3.3,11.9,3.7,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",3.6,4.3,9.7,7.2,10.1,6.7,5.2,5.0,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",6.4,2.6,4.8,2.2,5.2,2.2,5.6,2.5,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",13.2,9.0,9.8,7.5,10.8,8.2,12.1,8.4,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",3.6,1.1,4.5,1.2,3.9,1.1,4.0,1.1,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",11.9,5.8,13.3,6.0,8.6,5.0,8.2,5.1,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",13.0,6.2,8.7,4.9,11.6,5.7,9.3,4.9,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",7.8,2.7,6.3,2.2,6.9,2.3,7.3,2.6,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",7.3,4.2,5.8,3.7,6.2,4.1,7.3,4.5,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",5.1,3.0,5.9,3.1,2.0,2.0,3.1,2.6,,,,,,,,,,
