"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",67.4,5.8,64.1,5.9,62.0,5.9,64.0,5.8,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",66.9,5.2,63.0,5.6,68.9,5.1,68.4,5.1,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",53.1,6.4,54.7,6.4,53.0,6.2,63.1,6.0,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",63.6,3.9,67.2,3.7,69.6,3.6,68.9,3.6,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",63.7,4.1,67.5,4.0,67.5,4.0,65.0,4.1,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",72.5,5.2,71.7,5.4,68.9,5.6,73.1,5.4,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",60.7,4.5,61.8,4.4,61.6,4.4,56.0,4.5,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",61.5,3.5,65.5,3.5,63.1,3.6,64.1,3.6,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",59.1,8.0,60.4,7.9,67.6,7.3,64.5,7.7,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",64.7,8.0,69.7,7.5,70.7,7.7,60.5,7.9,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",60.7,4.7,62.6,4.6,67.7,4.4,66.3,4.5,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",63.1,8.2,59.0,8.7,65.0,8.4,73.9,7.6,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",54.9,6.0,64.8,5.9,67.7,5.8,59.5,5.9,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",66.5,5.0,68.0,4.9,69.5,4.9,68.3,5.1,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",70.2,5.5,66.1,5.9,69.5,5.6,70.8,5.5,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",61.5,6.0,63.2,6.0,60.2,5.9,65.2,5.7,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",51.7,5.3,54.9,5.2,61.0,5.3,59.4,5.0,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",52.8,4.4,51.7,4.5,53.8,4.4,52.9,4.4,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",52.8,7.1,51.4,6.9,53.7,7.0,51.9,6.8,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",61.0,4.4,62.4,4.4,60.9,4.4,61.8,4.4,,,,,,,,,,
,"Syracuse, NY………………………………………….",77.7,9.4,67.3,10.4,53.1,11.5,70.1,10.3,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",69.3,5.0,66.2,5.1,68.1,5.1,68.5,5.0,,,,,,,,,,
**,"Toledo, OH………………………………………………..",75.9,10.5,77.5,11.0,66.8,12.2,61.1,11.5,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",55.2,8.6,62.5,8.5,63.9,9.1,59.6,9.0,,,,,,,,,,
