"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
,"Syracuse, NY………………………………………….",0.9,1.9,(z),(z),(z),(z),(z),(z),,,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",1.2,1.1,1.4,1.2,1.1,1.0,2.2,1.5,,,,,,,,,,,,
**,"Toledo, OH………………………………………………..",0.7,1.9,(z),(z),(z),(z),0.7,2.0,,,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",0.7,1.5,0.5,1.1,0.6,1.3,(z),(z),,,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",0.4,0.8,0.7,1.1,0.6,1.0,1.7,1.9,,,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",0.9,0.9,1.3,1.1,1.0,1.0,0.8,0.9,,,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",1.4,1.8,(z),(z),0.4,0.8,0.7,1.1,,,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",0.7,0.6,0.9,0.7,0.5,0.5,0.8,0.7,,,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",(z),(z),0.3,0.8,0.5,1.1,0.6,1.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2019,Margin of Error1,Second         Quarter       2019,Margin of Error1,Third         Quarter       2019,Margin of Error1,Fourth         Quarter       2019,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.0,(z),1.3,2.2,1.5,2.5,2.3,2.9,,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",1.6,2.6,4.8,4.6,2.1,2.8,3.8,3.8,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.9,1.3,1.4,1.1,1.8,1.3,2.3,1.4,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",1.2,2.1,0.4,1.2,3.3,3.7,0.9,1.9,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",0.9,0.7,1.6,1.0,1.6,1.0,1.2,0.8,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",1.5,1.7,1.6,1.8,0.7,1.2,3.2,2.5,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",1.9,1.5,1.8,1.5,2.8,1.8,2.6,1.7,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",2.7,2.1,1.5,1.5,2.1,1.9,1.1,1.5,,,,,,,,,,,,
