RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
394484,"Winston-Salem, NC",303691,305432,306283,306727,307364,308890,311125,313783,316517,318441,319180,320066,321793,324832,328127,331661,334884,337817,340769,343927,347220,351179,356422,361833,367144,371677
395235,"Wichita, KS",151658,152428,153412,154607,155516,156400,157136,157962,158635,159230,159990,160714,161403,162054,162694,163489,164583,165809,167227,168679,170350,172190,174065,176209,178624,181216
395224,"Springfield, MA",136873,137306,137670,138329,139093,140048,140869,141543,141950,142214,142207,142307,142781,143745,144843,145849,146680,147422,148388,149507,150954,152567,154390,156200,157926,159515
395115,"Fort Myers, FL",226938,226822,227339,229046,230897,231836,232315,232438,233189,233879,234442,234763,234967,236710,238290,240281,241265,242784,244469,246787,249186,251695,254702,257892,261715,264529
394440,"Boise City, ID",238110,238099,237025,237415,236580,236833,237633,238534,238864,238543,238429,237997,239232,239924,240938,241591,243092,244033,245080,246291,248045,250100,252328,254957,257310,259893
394399,"Toledo, OH",293999,296285,299053,300915,303315,305105,307916,311119,314527,317097,318649,320196,321934,324884,328047,331987,335655,340149,344582,350136,356620,364756,374523,385769,397959,410927
395160,"Madison, WI",117804,118100,118151,118184,118843,119579,120675,121302,122039,122627,123437,124477,124947,125648,126323,127483,128268,129021,129728,130943,132293,133737,134973,135937,137480,139089
394816,"Lakeland, FL",274459,276107,276832,277458,277859,278742,279641,280627,281229,282515,283042,284537,285477,286947,288229,289730,291054,292711,294504,296820,299354,301630,304548,306781,309354,311633
394766,"Ogden, UT",184174,184946,185406,185479,186749,187812,189151,189393,189090,188754,189659,191258,192448,193719,195094,196570,196975,197941,198896,200764,203044,205534,207405,208776,210613,212641
394931,"Daytona Beach, FL",310782,312562,315149,316516,317807,319194,320967,322578,323655,324630,326514,327998,330510,332323,335157,337922,341112,344430,348142,352463,357487,362959,368151,374667,380624,387977
394528,"Des Moines, IA",211384,211908,213029,213736,215263,216268,217806,219261,220399,221175,221807,222329,223444,224432,225104,225523,226208,227443,228439,229621,231194,233411,235862,238418,240580,243499
394531,"Jackson, MS",199429,200550,201272,201603,201498,201998,202292,202907,203107,203535,203846,204570,205338,205473,205488,205611,206525,207270,208342,209286,210529,211812,213501,214955,216551,218745
394711,"Youngstown, OH",140044,140564,141214,142186,142751,143337,143714,144142,144202,144437,144297,144322,144427,144914,145361,145633,146008,146436,147054,147857,148865,150021,151381,152804,154265,155402
395245,"Augusta, GA",94173,95024,96009,96397,96193,96107,96083,96126,96409,96820,97575,97802,98373,98581,98797,99119,100130,101263,102449,103828,105150,106592,107930,109814,111428,113418
394352,"Scranton, PA",149699,150149,150608,150999,151219,151509,151833,152153,152457,152843,153208,153681,154368,155106,155925,156886,158128,159430,160811,162230,163761,165347,167079,168921,170853,172965
395075,"Harrisburg, PA",114717,115227,115776,116287,116578,116943,117716,118641,119225,119354,119290,119510,119814,120340,120945,121650,122433,123363,124088,124969,126293,128114,130308,132247,134308,136138
394666,"Melbourne, FL",186322,186726,187117,187478,187760,188280,188894,189508,190106,190536,190865,191143,191693,192621,193590,194514,195542,196542,197658,198881,200287,201944,203812,205929,207935,209941
394957,"Chattanooga, TN",220784,222628,222911,223139,222761,223745,224773,224720,224028,224196,225106,226481,227148,228182,229740,231380,232968,234299,235620,237957,240402,242775,244840,246613,249128,251335
394460,"Spokane, WA",166880,168248,169552,170359,171042,171607,172282,173103,173973,174763,174690,174690,174768,175865,176897,178077,179327,180774,182304,183963,185702,187641,190592,193682,196978,199585
395113,"Provo, UT",255604,257196,258581,260693,263561,267629,270614,272267,273410,274932,275627,276822,279480,283606,287961,291066,293253,294955,297375,301513,306571,311916,317951,323793,328740,332740
395006,"Lancaster, PA",345315,345710,346813,348008,349801,351958,353609,355141,355885,356325,356767,356768,359424,361463,364691,366803,369475,372212,375548,379535,384387,389966,395756,402808,408824,416447
394768,"Modesto, CA",230038,230564,229382,228721,228636,229853,231187,232287,233065,233614,233548,233463,233177,233755,235118,236526,237661,238913,240600,242733,245240,248278,251882,255759,260428,265081
