RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,IL,Peoria County,17143,2.4,1.2,1.3,1.1,1.5,1.2,0.8,PEORIA,IL,14800,17143,6120.0,,"PEORIA-PEKIN, IL",37900.0,"Peoria, IL",Midwest,PEORIA,IL,14800,17143,6120.0,,"PEORIA-PEKIN, IL",37900.0,"Peoria, IL"
County,IL,Rock Island County,17161,1.7,1.2,0.8,1.2,1.3,1.3,0.6,ROCK ISLAND,IL,14890,17161,1960.0,,"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL",19340.0,"Davenport-Moline-Rock Island, IA-IL",Midwest,ROCK ISLAND,IL,14890,17161,1960.0,,"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL",19340.0,"Davenport-Moline-Rock Island, IA-IL"
County,IL,St. Clair County,17163,1.5,1.3,1.1,0.9,1.2,1.3,0.9,ST. CLAIR,IL,14900,17163,7040.0,L,"ST. LOUIS, MO-IL",41180.0,"St. Louis, MO-IL",Midwest,ST. CLAIR,IL,14900,17163,7040.0,L,"ST. LOUIS, MO-IL",41180.0,"St. Louis, MO-IL"
County,IL,Sangamon County,17167,2.6,1.0,1.0,0.8,1.1,1.2,1.1,SANGAMON,IL,14920,17167,7880.0,,"SPRINGFIELD, IL",44100.0,"Springfield, IL",Midwest,SANGAMON,IL,14920,17167,7880.0,,"SPRINGFIELD, IL",44100.0,"Springfield, IL"
County,IL,Tazewell County,17179,2.1,1.3,1.1,0.9,1.5,1.5,1.0,TAZEWELL,IL,14980,17179,6120.0,,"PEORIA-PEKIN, IL",37900.0,"Peoria, IL",Midwest,TAZEWELL,IL,14980,17179,6120.0,,"PEORIA-PEKIN, IL",37900.0,"Peoria, IL"
County,IL,Will County,17197,2.3,1.5,1.3,0.9,1.1,1.2,1.0,WILL,IL,14989,17197,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,WILL,IL,14989,17197,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,Winnebago County,17201,2.2,1.4,1.1,0.9,1.0,1.3,1.3,WINNEBAGO,IL,14991,17201,6880.0,,"ROCKFORD, IL",40420.0,"Rockford, IL",Midwest,WINNEBAGO,IL,14991,17201,6880.0,,"ROCKFORD, IL",40420.0,"Rockford, IL"
County,IN,Allen County,18003,1.5,1.4,1.0,0.9,1.1,1.5,1.3,ALLEN,IN,15010,18003,2760.0,,"FORT WAYNE, IN",23060.0,"Fort Wayne, IN",Midwest,ALLEN,IN,15010,18003,2760.0,,"FORT WAYNE, IN",23060.0,"Fort Wayne, IN"
County,IN,Elkhart County,18039,2.6,1.9,1.6,1.1,1.6,1.4,1.4,ELKHART,IN,15190,18039,2330.0,,"ELKHART-GOSHEN, IN",21140.0,"Elkhart-Goshen, IN",Midwest,ELKHART,IN,15190,18039,2330.0,,"ELKHART-GOSHEN, IN",21140.0,"Elkhart-Goshen, IN"
County,IN,Hamilton County,18057,1.3,0.7,0.7,0.7,0.6,0.8,0.7,HAMILTON,IN,15280,18057,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN",Midwest,HAMILTON,IN,15280,18057,3480.0,L,"INDIANAPOLIS, IN",26900.0,"Indianapolis, IN"
